freq,unit,sectperf,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC_HC,PNP,AT	42.93 	: 	48.79 	: 	48.6 	: 	48.92 	: 	49.16 	: 	50.37 	: 
A,PC_HC,PNP,BA	: 	50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC_HC,PNP,BE	44.34 	44.19 	49.15 	49.64 	48.64 	48.58 	49.38 	51.69 	53.42 	51.65 	50.88 	: 
A,PC_HC,PNP,BG	29.03 	44.14 	46.26 	50 	42.01 	48.15 	49.04 	46.55 	44.72 	44.6 	50 	: 
A,PC_HC,PNP,CY	31.3 	31.16 	30.3 	27.97 	29.66 	29.8 	36.22 	36.4 	34.33 	: 	33.6 	: 
A,PC_HC,PNP,CZ	37.13 	43.1 	45.73 	42.63 	38.36 	38.58 	47.5 	41.35 	45.93 	39.52 	32.01 d	34.06 dp
A,PC_HC,PNP,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40.06 b	: 
A,PC_HC,PNP,DK	58.43 	60.92 	62.55 	65.47 	62.55 	60.19 	62.81 p	: 	: 	: 	63.5 	: 
A,PC_HC,PNP,EA20	47.17 e	47.58 e	48.73 e	48.81 e	48.74 e	: 	49.35 e	49.73 e	50.84 e	: 	47.64 e	: 
A,PC_HC,PNP,EA21	46.88 e	47.55 e	48.71 e	48.82 e	48.67 e	: 	49.35 e	49.7 e	50.8 e	: 	47.66 e	: 
A,PC_HC,PNP,EE	55.56 	54.95 	50.41 	51.24 	53.1 	59.17 	58.18 	60.55 	65.49 	70 	66.42 	: 
A,PC_HC,PNP,EL	49.67 	: 	51.23 	: 	49.9 	: 	53.3 	53.06 	53.29 	55.56 	49.08 	: 
A,PC_HC,PNP,ES	48.06 	51.72 	51.75 	50 	51.99 	49.49 	47.79 	47.51 	48.24 	50.58 	50.4 	: 
A,PC_HC,PNP,EU27_2020	46.78 e	47.61 e	48.84 e	49.01 e	48.28 e	: 	48.73 e	48.98 e	50.53 e	: 	47.61 e	: 
A,PC_HC,PNP,FI	60.13 	57.99 	58.41 	58.16 	58.17 	59.97 	59.58 	59.13 	58.87 d	57.61 d	59.32 	: 
A,PC_HC,PNP,FR	40.05 	41.74 	: 	43.88 	43.9 p	: 	: 	45.67 	46.64 	44.69 	48.62 	: 
A,PC_HC,PNP,HR	: 	: 	: 	: 	: 	: 	: 	: 	37.74 	36.62 	31.25 	: 
A,PC_HC,PNP,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	50 	: 
A,PC_HC,PNP,IT	51.89 	50.62 	51.6 	52.58 	52.73 	53.28 	51.85 	52.81 	54.44 	56 	57.06 	: 
A,PC_HC,PNP,JP	14.38 d	13.81 d	14.1 d	15.08 d	15.31 d	15.32 d	16.06 d	16.88 d	16.66 d	17.34 d	17.06 d	: 
A,PC_HC,PNP,KR	25.13 	26.97 	27.54 	28.59 	28.64 	28.48 	28.18 	29.37 	29.81 	31.32 	33.48 	: 
A,PC_HC,PNP,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.86 	: 
A,PC_HC,PNP,ME	69.57 	60 	48.65 d	: 	53.13 	60.61 	44.44 	: 	: 	: 	: 	: 
A,PC_HC,PNP,MK	: 	: 	60 	61.9 	62.12 	64 	65.79 	71.43 	: 	41.18 	: 	: 
A,PC_HC,PNP,PL	38.82 	48.21 	48.17 	51.68 	45.44 	42.95 	41.89 	39.63 	45.71 	47.34 	47.91 	: 
