freq,sectperf,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,TOTAL,PC_GDP,ITC2	0.4 	0.45 e	0.65 	0.57 b	0.52 	0.49 	0.49 	0.58 	0.58 	0.51 	0.53 	: 
A,TOTAL,PC_GDP,ITC3	1.34 	1.38 e	1.47 	1.56 b	1.41 	1.36 	1.48 	1.56 	1.62 	1.5 	1.44 	: 
A,TOTAL,PC_GDP,ITC4	1.3 	1.28 e	1.25 	1.28 b	1.28 	1.32 	1.34 	1.36 	1.29 	1.17 	1.19 	: 
A,TOTAL,PC_GDP,ITF1	0.86 	0.95 e	0.94 	1.01 b	0.97 	0.93 	1.06 	1.02 	1.14 	1.08 	1.1 	: 
A,TOTAL,PC_GDP,ITF2	0.76 	0.66 e	: @C	: @C	1.09 	1.27 	1.16 	1.03 	0.95 	0.67 	0.78 	: 
A,TOTAL,PC_GDP,ITF3	1.29 	1.25 e	1.24 	1.21 b	1.23 	1.29 	1.29 	1.34 	1.33 	1.26 	1.2 	: 
A,TOTAL,PC_GDP,ITF4	0.82 	0.98 e	0.99 	0.82 b	0.77 	0.78 	0.81 	0.84 	0.86 	0.84 	0.82 	: 
A,TOTAL,PC_GDP,ITF5	0.52 	0.56 e	0.61 	: @C	0.65 	0.61 	0.64 	0.67 	0.54 	0.63 	0.64 	: 
A,TOTAL,PC_GDP,ITF6	0.55 	0.8 e	0.71 	0.57 b	0.52 	0.54 	0.57 	0.61 	0.59 	0.58 	0.64 	: 
A,TOTAL,PC_GDP,ITG1	0.9 	1.07 e	1 	0.79 b	0.76 	0.83 	0.84 	0.9 	0.92 	0.88 	0.98 	: 
A,TOTAL,PC_GDP,ITG2	0.78 	0.77 e	0.82 	0.84 b	0.77 	0.81 	0.84 	0.9 	0.83 	0.86 	0.83 	: 
A,TOTAL,PC_GDP,ITH1	0.6 	0.67 e	0.71 	0.65 b	0.68 	0.83 	0.75 	0.91 	0.83 	0.74 	0.65 	: 
